date,city,station_id,season,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,avg_wind_speed_kmh,home_team,away_team,home_score,away_score,competition,stadium,country,neutral,world_cup
2022-09-03,Sydney,94767,Spring,14.3,10.5,16.6,5.2,38.8,Australia,South Africa,8,24,2022 Rugby Championship,Sydney Football Stadium,Australia,False,False
2022-09-03,Hamilton,78016,Autumn,27.8,25.7,30.6,0.5,8.8,New Zealand,Argentina,53,3,2022 Rugby Championship,Waikato Stadium,New Zealand,False,False
2022-09-03,Hamilton,93119,Spring,14.5,7.0,18.0,12.8,16.2,New Zealand,Argentina,53,3,2022 Rugby Championship,Waikato Stadium,New Zealand,False,False
2022-09-15,Melbourne,95866,Spring,12.5,11.0,15.9,5.0,19.0,Australia,New Zealand,37,39,2022 Rugby Championship,Docklands Stadium,Australia,False,False
2022-09-17,Buenos Aires,87582,Spring,18.5,14.9,22.2,0.0,15.0,Argentina,South Africa,20,36,2022 Rugby Championship,José Amalfitani Stadium,Argentina,False,False
2022-09-24,Auckland,93110,Spring,15.3,10.1,17.8,0.0,15.0,New Zealand,Australia,40,14,2022 Rugby Championship,Eden Park,New Zealand,False,False
2022-10-29,Edinburgh,3171,Autumn,11.9,8.9,13.6,1.3,13.2,Scotland,Australia,15,16,2022 Autumn International,Murrayfield Stadium,Scotland,False,False
2022-11-05,Dublin,3969,Autumn,11.1,5.0,13.8,0.1,16.4,Ireland,South Africa,19,16,2022 end-of-year test,Aviva Stadium,Ireland,False,False
2022-11-05,Saint-Denis,7149,Autumn,8.1,4.7,11.8,0.2,10.5,France,Australia,30,29,2022 Autumn International,Stade de France,France,False,False
2022-11-06,London,3772,Autumn,12.4,10.3,14.1,4.8,16.2,England,Argentina,29,30,2022 Autumn International,Twickenham,England,False,False
2022-11-12,Marseille,7650,Autumn,14.6,9.4,20.5,0.2,5.4,France,South Africa,30,26,2022 end-of-year test,Stade Vélodrome,France,False,False
2022-11-12,Florence,16134,Autumn,4.8,1.9,7.4,0.0,51.5,Italy,Australia,28,27,2022 Autumn International,Stadio Artemio Franchi,Italy,False,False
2022-11-13,Edinburgh,3171,Autumn,9.5,4.7,13.0,0.0,10.9,Scotland,New Zealand,23,31,2022 Autumn International,Murrayfield,Scotland,False,False
2022-11-19,Genoa,16153,Autumn,13.6,12.2,15.4,0.0,14.2,Italy,South Africa,21,63,2022 end-of-year test,Stadio Luigi Ferraris,Italy,False,False
2022-11-19,Dublin,3969,Autumn,5.4,-0.5,9.2,1.7,13.7,Ireland,Australia,13,10,2022 Autumn International,Aviva Stadium,Ireland,False,False
2022-11-19,London,3772,Autumn,8.2,4.0,10.8,0.0,10.2,England,New Zealand,25,25,2022 Autumn International,Twickenham,England,False,False
2022-11-26,London,3772,Autumn,10.4,7.5,12.4,0.0,17.1,England,South Africa,13,27,2022 Autumn International,Twickenham,England,False,False
2023-02-04,London,3772,Winter,8.6,8.0,11.2,0.0,12.8,England,Scotland,23,29,2023 Six Nations Championship,Twickenham Stadium,England,False,False
2023-02-05,Rome,16239,Winter,6.6,2.0,11.6,0.0,11.9,Italy,France,24,29,2023 Six Nations Championship,Stadio Olimpico,Italy,False,False
2023-02-11,Dublin,3969,Winter,8.8,7.8,11.2,0.0,9.2,Ireland,France,32,19,2023 Six Nations Championship,Aviva Stadium,Ireland,False,False
2023-02-11,Edinburgh,3171,Winter,9.4,6.9,12.0,0.0,25.6,Scotland,Wales,35,7,2023 Six Nations Championship,Murrayfield Stadium,Scotland,False,False
2023-02-12,London,3772,Winter,8.0,7.3,9.6,0.0,9.3,England,Italy,31,14,2023 Six Nations Championship,Twickenham Stadium,England,False,False
2023-02-25,Rome,16239,Winter,15.0,11.3,17.1,0.0,15.6,Italy,Ireland,20,34,2023 Six Nations Championship,Stadio Olimpico,Italy,False,False
2023-02-26,Saint-Denis,7149,Winter,2.4,0.3,6.6,0.0,29.4,France,Scotland,32,21,2023 Six Nations Championship,Stade de France,France,False,False
2023-03-11,Rome,16239,Spring,13.5,8.3,18.0,0.0,6.5,Italy,Wales,17,29,2023 Six Nations Championship,Stadio Olimpico,Italy,False,False
2023-03-11,London,3772,Spring,3.4,-2.2,8.5,1.0,11.3,England,France,10,53,2023 Six Nations Championship,Twickenham Stadium,England,False,False
2023-03-12,Edinburgh,3171,Spring,6.0,0.5,12.3,2.3,17.9,Scotland,Ireland,7,22,2023 Six Nations Championship,Murrayfield Stadium,Scotland,False,False
2023-03-18,Edinburgh,3171,Spring,7.7,5.7,10.6,3.6,11.4,Scotland,Italy,26,14,2023 Six Nations Championship,Murrayfield Stadium,Scotland,False,False
2023-03-18,Saint-Denis,7149,Spring,12.2,8.3,17.0,3.3,16.8,France,Wales,41,28,2023 Six Nations Championship,Stade de France,France,False,False
2023-03-18,Dublin,3969,Spring,8.4,6.4,11.6,1.1,17.7,Ireland,England,29,16,2023 Six Nations Championship,Aviva Stadium,Ireland,False,False
2023-07-08,Pretoria,68263,Winter,12.0,4.7,19.7,0.0,13.2,South Africa,Australia,43,12,2023 Rugby Championship,Loftus Versfeld Stadium,South Africa,False,False
2023-07-08,Mendoza,87420,Winter,7.9,0.1,12.9,0.0,9.9,Argentina,New Zealand,12,41,2023 Rugby Championship,Estadio Malvinas Argentinas,Argentina,False,False
2023-07-15,Auckland,93110,Winter,14.3,13.0,16.1,2.3,22.6,New Zealand,South Africa,35,20,2023 Rugby Championship,Mount Smart Stadium,New Zealand,False,False
2023-07-15,Sydney,94767,Winter,18.7,11.3,24.7,0.0,16.4,Australia,Argentina,31,34,2023 Rugby Championship,CommBank Stadium,Australia,False,False
2023-07-29,Melbourne,95866,Winter,11.9,10.4,18.3,0.0,19.8,Australia,New Zealand,7,38,2023 Rugby Championship,Melbourne Cricket Ground,Australia,False,False
2023-08-05,Buenos Aires,87582,Winter,13.0,10.0,15.0,1.7,16.0,Argentina,South Africa,13,24,2023 Rugby World Cup warm-up match,José Amalfitani,Argentina,False,False
2023-08-05,Edinburgh,3171,Summer,13.3,11.7,15.7,0.0,11.3,Scotland,France,25,21,2023 Rugby World Cup warm-up match,Murrayfield Stadium,Scotland,False,False
2023-08-05,Dublin,3969,Summer,13.0,10.4,17.3,36.7,23.9,Ireland,Italy,33,17,2023 Rugby World Cup warm-up match,Aviva Stadium,Ireland,False,False
2023-08-12,London,3772,Summer,18.3,13.7,22.6,0.0,20.8,England,Wales,19,17,2023 Summer Nations Series,Twickenham,England,False,False
2023-08-19,Dublin,3969,Summer,17.8,15.8,20.7,2.3,27.8,Ireland,England,29,10,2023 Rugby World Cup warm-up match,Aviva Stadium,Ireland,False,False
2023-08-25,London,3772,Summer,17.3,13.9,22.1,0.0,12.1,South Africa,New Zealand,35,7,2023 Rugby World Cup warm-up match,Twickenham Stadium,England,True,False
2023-08-27,Saint-Denis,7149,Summer,16.2,12.3,20.9,0.2,12.3,France,Australia,41,17,2023 Rugby World Cup warm-up match,Stade de France,France,False,False
